tile,num_images,mean_x,mean_y
6984_149764,29,349230.1379310345,7488219.1034482755
7042_149724,29,352132.2068965517,7486237.586206896
6984_149769,28,349231.4285714286,7488493.285714285
6992_149758,28,349622.64285714284,7487920.214285715
6980_149772,28,349013.0,7488609.071428572
7008_149746,28,350428.71428571426,7487333.071428572
6995_149720,28,349757.21428571426,7486038.071428572
7035_149715,28,351793.14285714284,7485785.928571428
6971_149780,28,348562.85714285716,7489025.071428572
7008_149771,27,350425.9259259259,7488561.111111111
7014_149762,27,350742.3703703704,7488136.37037037
6997_149734,27,349882.14814814815,7486718.37037037
7008_149745,27,350418.22222222225,7487256.666666667
6994_149771,27,349717.48148148146,7488592.962962963
6982_149771,27,349113.9259259259,7488576.740740741
6966_149727,26,348316.53846153844,7486391.153846154
6991_149758,26,349590.3846153846,7487914.615384615
7029_149723,26,351476.53846153844,7486158.769230769
6982_149785,25,349122.16,7489278.8
6979_149771,25,348972.08,7488580.0
7045_149723,25,352280.24,7486186.08
7012_149704,25,350639.36,7485212.32
6978_149772,25,348930.16,7488635.92
7029_149721,25,351454.96,7486062.64
6996_149787,25,349815.52,7489385.84
7002_149739,25,350108.24,7486987.6
7028_149717,25,351430.24,7485866.64
6996_149737,24,349840.9166666667,7486871.916666667
6988_149781,24,349438.1666666667,7489058.083333333
6994_149720,24,349744.9166666667,7486041.5
6974_149776,24,348721.75,7488825.5
6975_149781,24,348783.0833333333,7489065.666666667
6968_149751,23,348432.0869565217,7487558.434782608
6982_149780,23,349117.1304347826,7489036.608695652
6982_149750,23,349130.6956521739,7487521.130434782
6984_149776,23,349204.60869565216,7488825.565217392
6972_149759,23,348644.7826086957,7487962.0
6989_149773,23,349477.47826086957,7488690.0
6985_149784,22,349280.63636363635,7489225.818181818
6979_149759,22,348979.45454545453,7487975.181818182
6986_149764,22,349343.63636363635,7488236.090909091
7000_149747,22,350004.0,7487364.7272727275
7003_149718,22,350151.8181818182,7485922.363636363
7006_149750,22,350342.0,7487512.545454546
6977_149780,22,348861.0909090909,7489037.2727272725
6988_149777,22,349407.36363636365,7488869.2727272725
7014_149731,20,350733.7,7486590.0
