id,os,os_physical,os_count,group,group_physical,group_count,desc,date,class,un,un_physical,un_count,field_number,field_location,field_location_physical,field_location_count,depth,suit,shipment,company,company_physical,company_count,resource,resource_physical,resource_count,vessel,vessel_physical,vessel_count,relatbar,n1710,files_count,files_size,files_missing_count,files_missing_size,files_oldest,files_newest,inventory_first,inventory_newest,files_missing_lastseen,bucket,bucket_physical,bucket_count,base,folder,path
96359,6000730763,14820,2,DOF,5,4684,Inspecao programada PIDF-3 PO_7-AB-136D-RJS/P-25 boreste / P-25,2024-08-06,Inspeção programada PIDF-3,UN-ES - SEDE  Espíri,57,10101,17,P-25,278,932,570,P-25 - icpi dutos,P-25/2025,DOF,5,8910,DSV,67,778,Skandi Achiever,154,778,SACAB24-290,,0,0.0,24,14253351036.0,2024-12-31,2024-12-31,2025-01-01,2025-01-01,2025-01-02,manutencao-inspecao-submarina,26,29290,recursos-embarcacoes,09-OS6000730763-SACAB24-290,manutencao-inspecao-submarina/recursos-embarcacoes/empresa-dof/dsv-skandi-achiever/2024/QUINZENA25-25-12-AO-07-01/09-OS6000730763-SACAB24-290/
96521,6000743531,14746,1,MIS,7,6571,"Teste de integridade do anular - PIADF TR9001955 corpo TUB.AN PO 6"" 3-RJS-739 FPSO Pioneiro de Libra",2024-11-01,Teste de integridade do anular - PIADF,2908,60,1305,1132,3-RJS-739,203,135,1951,3-RJS-739D,SPA-1 Pioneiro de Libra,Fugro,25,2680,RSV,27,25342,Fugro Aquarius,121,579,FAMRO25-003,,21,5975526724.0,0,0.0,2025-01-04,2025-01-05,2025-01-05,2025-01-06,,manutencao-inspecao-submarina,26,29290,recursos-embarcacoes,OS006000743531-FAMRO25-003,manutencao-inspecao-submarina/recursos-embarcacoes/empresa-fugro/rsv-fugro-aquarius/2025/QUINZENA01-02-01-AO-15-01/OS006000743531-FAMRO25-003/
84436,6000705261,23643,1,CRD,12,2914,Abertura de conexao (F0554122) RXF (F0555002) GL 7-MRL-54-RJS P-19,2023-12-21,Abertura de conexão,UN-BC - SEDE  Bacia,56,20428,682,7-MRL-54-RJS,944,37,730,7-MRL-54-RJS GL (SUPORTE 7),7-MRL-54-RJS P-19,Fugro,25,2680,RSV,27,25342,Parcel Meros,151,432,PDMMRL24-029,,90,65618201283.0,0,0.0,2024-03-11,2024-03-11,2024-03-17,2024-03-17,,manutencao-inspecao-submarina,26,29290,recursos-embarcacoes,OS006000705261-PDMMRL24-029,manutencao-inspecao-submarina/recursos-embarcacoes/empresa-fugro/rsv-parcel-meros/2024/QUINZENA04-21-02-AO-05-03/OS006000705261-PDMMRL24-029/
95979,6000732659,15164,2,CRD,12,2914,Investigacao de anomalias em equipamentos INSPECAO/COLETA de fluido - funil da BAP 9-BUZ-1-RJS P-76,2024-08-21,Investigação de anomalias em equipamentos,BUZIOS/PRODUÇÃO - SE,59,4755,1057,9-BUZ-1-RJS,537,15,2022,Monitoramento de campanula P-76,P-76/2024 opex,Oceânica,2,5281,RSV,27,25342,Oceanica Subxi,100,329,,,449,594045762489.0,1,1653468.0,2024-12-23,2025-01-01,2024-12-24,2025-01-02,2024-12-28,manutencao-inspecao-submarina,26,29290,recursos-embarcacoes,OS006000732659-SUB11BUZ24-112,manutencao-inspecao-submarina/recursos-embarcacoes/empresa-oceanica/rsv-oceanica-subxi/2024/QUINZENA10-20-12-AO-02-01/OS006000732659-SUB11BUZ24-112/
77254,6000699940,27291,1,EQS,19,6769,Insp. prog. - sist. ANM sistema ANM [3-RJS-706] / P-68,2023-11-10,Insp. prog. - sist. ANM,UN-BS -  EDISA II Sa,58,9299,0,P-68,225,525,2280,Icpi equipamentos P-68,P-68 / 2023,C-Innovation,0,8714,RSV,27,25342,Paulo Cunha,101,1009,PCBBG23-297,,87,11468932920.0,0,0.0,2023-11-18,2023-11-20,2023-11-19,2023-11-26,,iesub-rsv,31,4310,recursos-embarcacoes,OS006000699940-PCBBG23-297,iesub-rsv/recursos-embarcacoes/empresa-c-innovation/rsv-paulo-cunha/2023/INSPECAO-PROGRAMADA-SISTEMA-ANM/OS006000699940-PCBBG23-297/
63459,6000663826,31876,1,SEL,36,1938,Investigacao de anomalias em equipamentos teste baixa isolacao UEH do LL-61 / FPSO Cidade de Marica,2022-12-19,Investigação de anomalias em equipamentos,UN-BS -  EDISA II Sa,58,9299,120,FPSO CIDADE DE MARICA,358,280,0,Fpcmc equipamentos,ICPI/UN-BS 2022,C-Innovation,0,8714,RSV,27,25342,Paulo Cunha,101,1009,PCLL23-073,,57,15129286330.0,0,0.0,2023-04-04,2023-04-14,2023-04-09,2023-04-16,2023-06-18,iesub-rsv,31,4310,recursos-embarcacoes,OS006000663826-PCLL23-073,iesub-rsv/recursos-embarcacoes/empresa-c-innovation/rsv-paulo-cunha/2023/INVESTIGACAO-DE-ANOMALIAS-EM-EQUIPAMENTOS/OS006000663826-PCLL23-073/
79523,6000688121,25576,3,MIS,7,6571,Ancoragem provisoria - instalacao de lacada de linha (3 de 15T) IG 9-BUZ-2-RJS P-75,2023-07-19,Ancoragem provisória - instalação de laçada de linha,BUZIOS/PRODUÇÃO - SE,59,4755,1057,9-BUZ-2-RJS,217,81,2034,SCC-CO2 9-BUZ-2-RJS,SCC-CO2 9-BUZ-2-RJS,Subsea7,8,2170,RSV,27,25342,Normand Flower,146,475,NFLBUZ23-143,,52,21961561945.0,0,0.0,2023-12-29,2024-01-01,2023-12-31,2024-01-07,,manutencao-inspecao-submarina,26,29290,recursos-embarcacoes,OS006000688121-NFLBUZ23-143,manutencao-inspecao-submarina/recursos-embarcacoes/empresa-subsea7/rsv-normand-flower/2023/QUINZENA26-26-12-AO-08-01/OS006000688121-NFLBUZ23-143/
73230,6000666824,28862,1,MER,10,7445,Inspecao interm casco - CVI - chapeamento chapeamento cav. 59 popa BB / P-48,2023-01-11,Inspeção interm casco - CVI - chapeamento,UN-BC - SEDE  Bacia,56,20428,247,P-48,325,825,1040,Ciclo intermediario - 2023,P-48 / 2023,OceanPact,32,2862,RSV,27,25342,Parcel das Timbebas,150,547,PDTCRT23-362,,24,7784952039.0,0,0.0,2023-09-14,2023-09-25,2023-09-17,2023-10-01,,manutencao-inspecao-submarina,26,29290,recursos-embarcacoes,OS006000666824-PDTCRT23-362,manutencao-inspecao-submarina/recursos-embarcacoes/empresa-oceanpact/rsv-parcel-das-timbebas/2023/QUINZENA18-07-09-AO-20-09/OS006000666824-PDTCRT23-362/
101687,6000756579,10905,1,SEL,36,1938,Instalacao de SASMIC no 8-BBG-4D-RJS P-68,2025-02-13,Instalação de SASMIC,UN-BS -  EDISA II Sa,58,9299,1101,8-BBG-4D-RJS,213,26,2170,Operacao equip. submarinos P-68,P-68 / 2025,Fugro,25,2680,RSV,27,25342,Parcel das Feiticeiras,105,492,PDFBBG25-099,,35,6853293406.0,1,9216.0,2025-04-27,2025-04-28,2025-04-28,2025-04-29,2025-04-28,iesub-rsv,31,4310,recursos-embarcacoes,OS006000756579-PDFBBG25-099,iesub-rsv/recursos-embarcacoes/empresa-fugro/rsv-parcel-das-feiticeiras/2025/INSTALACAO-DE-SASMIC/OS006000756579-PDFBBG25-099/
108209,6000576524,5774,1,ITS,18,1546,"Recuperacao 1(A), remanejamento e CVD 2(A) UEH (327.5) MLL-72 X 7-MLL-82H-RJS",2020-08-11,"Recuperação 1ª, remanejamento e CVD 2ª",UN-BC - SEDE  Bacia,56,20428,683,7-MLL-82H-RJS,761,4,1165,7-MLL-82H-RJS a P-53,7-MLL-82H-RJS,Sapura,6,1676,PLSV,35,3305,Sapura Esmeralda,90,453,SEMLL20-100,,579,205412186163.0,0,0.0,2025-09-23,2025-09-24,2025-09-24,2025-09-25,,interligacao-submarina,30,3909,recursos-embarcacoes,006000576524-7-MLL-82H-RJS,interligacao-submarina/recursos-embarcacoes/empresa-sapura/plsv-sapura-esmeralda/006000576524-7-MLL-82H-RJS/
